
### The payouts



; Source ; SBD ; SP
; ---------------------- ;:--------:; -----:
;[comment](https://steemit,com/aicontest/@gbd/the-ai-contest-1-public-goods-problem#@gbd/re-amosbastian-re-gbd-the-ai-contest-1-public-goods-problem-20180126t144506240z) ; 0,368;0,076
;[comment](https://steemit,com/aicontest/@gbd/the-ai-contest-1-public-goods-problem#@gbd/re-scorpil-re-gbd-re-gbd-re-scorpil-re-gbd-the-ai-contest-1-public-goods-problem-20180125t090544301z) ; 0,412;0,081
;[comment](https://steemit,com/aicontest/@gbd/the-ai-contest-1-public-goods-problem#@gbd/re-frankremmy-re-gbd-the-ai-contest-1-public-goods-problem-20180124t213126847z) ; 0,385;0,074
;[comment](https://steemit,com/aicontest/@gbd/the-ai-contest-1-public-goods-problem#@gbd/re-gbd-re-scorpil-re-gbd-the-ai-contest-1-public-goods-problem-20180124t205000009z) ; 0,430;0,080
;[comment](https://steemit,com/aicontest/@gbd/the-ai-contest-1-public-goods-problem#@gbd/re-gbd-the-ai-contest-1-public-goods-problem-20180124t204413500z) ;0,381;0,071
;[comment](https://steemit,com/aicontest/@gbd/the-ai-contest-1-public-goods-problem#@gbd/re-seunnla-re-gbd-the-ai-contest-1-public-goods-problem-20180124t204200608z) ; 0,414;0,077
;[comment](https://steemit,com/aicontest/@gbd/the-ai-contest-1-public-goods-problem#@gbd/re-scorpil-re-gbd-the-ai-contest-1-public-goods-problem-20180124t204104497z) ; 0,447;0,083
;[comment](https://steemit,com/aicontest/@gbd/fr-the-ai-contest-1-le-dilemme-du-bien-commun#@gbd/re-isabellalily-re-gbd-fr-the-ai-contest-1-le-dilemme-du-bien-commun-20180124t203516507z) ; 0,376;0,069
;[Contest #1 FR](https://steemit,com/aicontest/@gbd/fr-the-ai-contest-1-le-dilemme-du-bien-commun) ; 2,007;0,368
;[Contest #1](https://steemit,com/aicontest/@gbd/the-ai-contest-1-public-goods-problem) ; 2,443;0,449
;[Bientôt](https://steemit,com/aicontest/@gbd/the-ai-contest-bientot-sur-steem) ; 2,499;0,426
;[Coming soon](https://steemit,com/aicontest/@gbd/the-ai-contest-coming-soon) ; 2,652;0,452

